epochs,train_acc,val_acc
1,0.3977888822555542,0.536237359046936
2,0.6593553423881531,0.631956934928894
3,0.7163577675819397,0.7311726212501526
4,0.7471268177032471,0.7148256897926331
5,0.767336368560791,0.7163375020027161
6,0.7808488011360168,0.7750165462493896
7,0.7946446537971497,0.7299442291259766
8,0.8056648373603821,0.7531890869140625
9,0.8140273690223694,0.7572522163391113
10,0.8201339244842529,0.7465746998786926
11,0.8267720341682434,0.7735991477966309
12,0.834591269493103,0.7738826274871826
13,0.8398591876029968,0.7972219586372375
14,0.843379020690918,0.781158447265625
15,0.8476784229278564,0.7838987112045288
16,0.8544936776161194,0.7790796756744385
17,0.8580843806266785,0.7858830094337463
18,0.8607065677642822,0.7970329523086548
19,0.8644272089004517,0.8005291223526001
20,0.8691754341125488,0.7973164319992065
21,0.8741717338562012,0.780969500541687
22,0.8753764629364014,0.8054426908493042
23,0.8793805837631226,0.7860720157623291
24,0.8807979822158813,0.7856940627098083
25,0.8853572607040405,0.7993952631950378
26,0.8876841068267822,0.7828593254089355
27,0.8905189037322998,0.7867334485054016
28,0.8916527628898621,0.7793631553649902
29,0.8955978155136108,0.7835207581520081
30,0.8968026041984558,0.7877728343009949
